Image	E0	E1	N
learn0.ssf	182243	1541	183810
learn1.ssf	175114	1350	176474
learn2.ssf	213785	635	217962
learn3.ssf	213073	686	217213
learn4.ssf	214012	728	217966
learn5.ssf	202202	714	204335
learn6.ssf	211362	804	215438
learn7.ssf	213369	496	217214
learn8.ssf	213928	2163	219518
learn9.ssf	212903	770	216729
learn10.ssf	213882	951	217513
learn11.ssf	211052	617	214586
learn12.ssf	214212	693	217512
learn13.ssf	212142	804	215643
learn14.ssf	213306	1189	217593
learn15.ssf	208961	1157	213445
learn16.ssf	210622	990	214829
learn17.ssf	200494	655	201152
learn18.ssf	198324	921	200872
learn19.ssf	188918	12622	201540
learn20.ssf	197841	1044	198885
learn21.ssf	197199	1966	199170
learn22.ssf	197566	1341	198907
learn23.ssf	196364	1067	197439
learn24.ssf	195473	1278	197117
learn25.ssf	197375	930	201655
learn26.ssf	197953	1287	201024
learn27.ssf	202993	784	204959
learn28.ssf	197221	745	200645
learn29.ssf	201049	1184	205648
learn30.ssf	185161	797	200331
learn31.ssf	180162	1194	190057
learn32.ssf	182732	1011	191396
learn33.ssf	173544	3911	190517
learn34.ssf	173290	715	184433
learn35.ssf	174634	1019	184984
learn36.ssf	165883	990	180895
learn37.ssf	167813	824	186971
learn38.ssf	169417	1023	182874
learn39.ssf	169198	1897	183956
learn40.ssf	171208	1367	183614
learn41.ssf	172646	904	184030
learn42.ssf	177117	694	189424
learn43.ssf	173675	8730	185211
learn44.ssf	171559	950	185332
test0.ssf	203933	642	204579
test1.ssf	203577	595	204588
test2.ssf	203327	625	203952
test3.ssf	205012	805	205817
test4.ssf	203654	882	204536
test5.ssf	215035	712	219484
test6.ssf	203402	792	205752
test7.ssf	205594	921	206534
test8.ssf	205956	838	206794
test9.ssf	203896	574	204477
test10.ssf	204012	699	204993
test11.ssf	201927	992	202950
test12.ssf	169294	1255	182637
test13.ssf	198629	6714	205408
test14.ssf	204223	693	204916
test15.ssf	201987	986	202973
test16.ssf	194243	830	198953
test17.ssf	179949	16290	196244
test18.ssf	197675	944	198754
test19.ssf	197060	861	198096
test20.ssf	197969	794	198935
test21.ssf	194316	797	196073
test22.ssf	188227	1615	195646
test23.ssf	188770	7757	201420
test24.ssf	182085	1368	191270
test25.ssf	189872	11578	209078
test26.ssf	189018	15569	207640
test27.ssf	172897	5564	183563
test28.ssf	184414	698	190646
test29.ssf	177121	450	186532
test30.ssf	182347	906	190855
test31.ssf	162580	10036	180465
test32.ssf	170816	1211	183025
test33.ssf	163625	880	176953
test34.ssf	171590	913	184668
test35.ssf	173866	879	185520
test36.ssf	167620	7411	185131
test37.ssf	172456	811	183510
test38.ssf	173392	773	182816
test39.ssf	175258	968	186648
test40.ssf	173659	700	184760
test41.ssf	168885	6165	184217
test42.ssf	168531	2981	182268
test43.ssf	167151	3492	183458
test44.ssf	172093	1175	182817
test45.ssf	165337	4430	176522
test46.ssf	163210	10072	179563
test47.ssf	166788	1787	177368
test48.ssf	165726	6310	182298
test49.ssf	194627	1976	198339
test50.ssf	174397	9826	188844
test51.ssf	177129	14247	192652
test52.ssf	185498	1849	193274
test53.ssf	165548	11925	181479
test54.ssf	167889	11593	186144
test55.ssf	129308	12719	176950
test56.ssf	157340	11126	179015
test57.ssf	121363	25282	175592
test58.ssf	134506	31731	181910
test59.ssf	103281	40406	171330
test60.ssf	128276	18394	176950
test61.ssf	100298	27790	172089
test62.ssf	165553	12082	186976
test63.ssf	150014	7605	185491
test64.ssf	151964	3231	182968
test65.ssf	139874	7379	186050
