Image	E0	E1	N
learn0.ssf	182016	1504	183810
learn1.ssf	175317	1095	176474
learn2.ssf	213681	635	217962
learn3.ssf	213048	686	217213
learn4.ssf	213967	728	217966
learn5.ssf	202202	714	204335
learn6.ssf	211408	683	215438
learn7.ssf	213109	496	217214
learn8.ssf	214934	1157	219518
learn9.ssf	212732	776	216729
learn10.ssf	213848	951	217513
learn11.ssf	210990	617	214586
learn12.ssf	214034	693	217512
learn13.ssf	212029	804	215643
learn14.ssf	212935	1464	217593
learn15.ssf	208932	1157	213445
learn16.ssf	210411	1064	214829
learn17.ssf	199907	604	201152
learn18.ssf	198243	903	200872
learn19.ssf	198763	1607	201540
learn20.ssf	197648	721	198885
learn21.ssf	196915	2250	199170
learn22.ssf	197589	1293	198907
learn23.ssf	195678	1209	197439
learn24.ssf	195647	1091	197117
learn25.ssf	197557	713	201655
learn26.ssf	197999	818	201024
learn27.ssf	202925	784	204959
learn28.ssf	197221	725	200645
learn29.ssf	201332	833	205648
learn30.ssf	185035	772	200331
learn31.ssf	179782	640	190057
learn32.ssf	182699	1011	191396
learn33.ssf	173580	1485	190517
learn34.ssf	172962	962	184433
learn35.ssf	174052	1025	184984
learn36.ssf	160053	954	180895
learn37.ssf	167141	877	186971
learn38.ssf	165861	1069	182874
learn39.ssf	169141	1970	183956
learn40.ssf	170978	1110	183614
learn41.ssf	172610	883	184030
learn42.ssf	177171	637	189424
learn43.ssf	173415	1145	185211
learn44.ssf	171521	1038	185332
test0.ssf	203912	642	204579
test1.ssf	203480	633	204588
test2.ssf	203352	560	203952
test3.ssf	204477	805	205817
test4.ssf	203365	896	204536
test5.ssf	214956	712	219484
test6.ssf	203402	792	205752
test7.ssf	205613	921	206534
test8.ssf	205885	909	206794
test9.ssf	203812	574	204477
test10.ssf	203766	539	204993
test11.ssf	201471	1093	202950
test12.ssf	169208	1165	182637
test13.ssf	203756	1367	205408
test14.ssf	204257	659	204916
test15.ssf	201665	1067	202973
test16.ssf	194180	790	198953
test17.ssf	194920	1239	196244
test18.ssf	197646	941	198754
test19.ssf	196893	902	198096
test20.ssf	197949	794	198935
test21.ssf	194277	797	196073
test22.ssf	187987	1730	195646
test23.ssf	194756	1592	201420
test24.ssf	182082	1318	191270
test25.ssf	189913	11578	209078
test26.ssf	188757	15830	207640
test27.ssf	172820	1376	183563
test28.ssf	183937	1130	190646
test29.ssf	177056	450	186532
test30.ssf	181714	790	190855
test31.ssf	171945	667	180465
test32.ssf	170153	957	183025
test33.ssf	163329	970	176953
test34.ssf	171258	989	184668
test35.ssf	173428	946	185520
test36.ssf	173309	869	185131
test37.ssf	172318	811	183510
test38.ssf	173373	752	182816
test39.ssf	175323	813	186648
test40.ssf	173659	700	184760
test41.ssf	174206	785	184217
test42.ssf	170809	834	182268
test43.ssf	168476	1810	183458
test44.ssf	171006	1175	182817
test45.ssf	164809	1647	176522
test46.ssf	167855	2270	179563
test47.ssf	166237	1757	177368
test48.ssf	165694	6242	182298
test49.ssf	194534	1398	198339
test50.ssf	177247	1585	188844
test51.ssf	184170	2689	192652
test52.ssf	181675	5211	193274
test53.ssf	169534	7515	181479
test54.ssf	176935	2053	186144
test55.ssf	132892	4350	176950
test56.ssf	162558	3824	179015
test57.ssf	132528	10125	175592
test58.ssf	153015	8755	181910
test59.ssf	127117	6778	171330
test60.ssf	141088	4284	176950
test61.ssf	118191	6726	172089
test62.ssf	168068	3801	186976
test63.ssf	149522	3974	185491
test64.ssf	150646	2684	182968
test65.ssf	139850	4163	186050
