Image	E0	E1	N
learn0.ssf	182269	1541	183810
learn1.ssf	175350	1114	176474
learn2.ssf	213861	635	217962
learn3.ssf	213073	686	217213
learn4.ssf	214012	728	217966
learn5.ssf	202202	714	204335
learn6.ssf	211483	683	215438
learn7.ssf	213274	591	217214
learn8.ssf	214934	1157	219518
learn9.ssf	212780	776	216729
learn10.ssf	213882	951	217513
learn11.ssf	211023	617	214586
learn12.ssf	214187	693	217512
learn13.ssf	212067	811	215643
learn14.ssf	212995	1464	217593
learn15.ssf	208961	1261	213445
learn16.ssf	210141	1404	214829
learn17.ssf	200408	741	201152
learn18.ssf	198324	921	200872
learn19.ssf	199428	2112	201540
learn20.ssf	197777	1108	198885
learn21.ssf	197199	1966	199170
learn22.ssf	196948	1250	198907
learn23.ssf	195709	1722	197439
learn24.ssf	195422	1316	197117
learn25.ssf	197557	713	201655
learn26.ssf	198422	818	201024
learn27.ssf	203054	784	204959
learn28.ssf	197221	745	200645
learn29.ssf	201372	861	205648
learn30.ssf	185075	883	200331
learn31.ssf	180047	1355	190057
learn32.ssf	182729	1011	191396
learn33.ssf	174476	1855	190517
learn34.ssf	173047	968	184433
learn35.ssf	174602	1051	184984
learn36.ssf	161095	1003	180895
learn37.ssf	167723	893	186971
learn38.ssf	166629	3926	182874
learn39.ssf	169063	2119	183956
learn40.ssf	171082	1491	183614
learn41.ssf	172634	883	184030
learn42.ssf	176633	1175	189424
learn43.ssf	173445	1145	185211
learn44.ssf	171521	1038	185332
test0.ssf	203910	665	204579
test1.ssf	203539	633	204588
test2.ssf	203327	625	203952
test3.ssf	204477	805	205817
test4.ssf	203499	882	204536
test5.ssf	215035	712	219484
test6.ssf	203402	792	205752
test7.ssf	205613	921	206534
test8.ssf	205885	909	206794
test9.ssf	203892	574	204477
test10.ssf	203766	539	204993
test11.ssf	201717	1202	202950
test12.ssf	169176	1195	182637
test13.ssf	203792	1546	205408
test14.ssf	204257	659	204916
test15.ssf	201906	1067	202973
test16.ssf	194205	790	198953
test17.ssf	194799	1208	196244
test18.ssf	197675	944	198754
test19.ssf	197035	861	198096
test20.ssf	197949	794	198935
test21.ssf	194291	797	196073
test22.ssf	188112	1730	195646
test23.ssf	193989	2535	201420
test24.ssf	182135	1318	191270
test25.ssf	189913	11578	209078
test26.ssf	188757	15830	207640
test27.ssf	172820	1376	183563
test28.ssf	182916	2193	190646
test29.ssf	177076	450	186532
test30.ssf	181753	906	190855
test31.ssf	171661	951	180465
test32.ssf	170118	1478	183025
test33.ssf	163213	1292	176953
test34.ssf	171459	989	184668
test35.ssf	173797	946	185520
test36.ssf	173262	840	185131
test37.ssf	172453	811	183510
test38.ssf	173413	752	182816
test39.ssf	175473	753	186648
test40.ssf	173659	700	184760
test41.ssf	174230	785	184217
test42.ssf	168402	3215	182268
test43.ssf	168833	1810	183458
test44.ssf	172062	1206	182817
test45.ssf	164945	1670	176522
test46.ssf	168011	2334	179563
test47.ssf	166623	1952	177368
test48.ssf	165770	6266	182298
test49.ssf	194602	1629	198339
test50.ssf	177506	1585	188844
test51.ssf	184332	2689	192652
test52.ssf	181952	5380	193274
test53.ssf	165499	12483	181479
test54.ssf	172881	6508	186144
test55.ssf	137294	4277	176950
test56.ssf	156191	12150	179015
test57.ssf	131570	12364	175592
test58.ssf	146018	18319	181910
test59.ssf	129552	7578	171330
test60.ssf	141886	4212	176950
test61.ssf	115532	10465	172089
test62.ssf	168063	4044	186976
test63.ssf	168915	4386	185491
test64.ssf	151587	2723	182968
test65.ssf	140299	4249	186050
