Image	E0	E1	N
learn0.ssf	182240	1541	183810
learn1.ssf	175050	1331	176474
learn2.ssf	213762	635	217962
learn3.ssf	212997	686	217213
learn4.ssf	213772	728	217966
learn5.ssf	202202	714	204335
learn6.ssf	211298	683	215438
learn7.ssf	213332	496	217214
learn8.ssf	215227	864	219518
learn9.ssf	212878	770	216729
learn10.ssf	213485	1208	217513
learn11.ssf	211052	617	214586
learn12.ssf	214015	693	217512
learn13.ssf	211792	804	215643
learn14.ssf	211001	3083	217593
learn15.ssf	208961	1157	213445
learn16.ssf	210170	990	214829
learn17.ssf	200375	655	201152
learn18.ssf	198324	903	200872
learn19.ssf	190079	11461	201540
learn20.ssf	197959	668	198885
learn21.ssf	197199	1966	199170
learn22.ssf	196574	1240	198907
learn23.ssf	194894	1067	197439
learn24.ssf	195471	1276	197117
learn25.ssf	197350	930	201655
learn26.ssf	198422	818	201024
learn27.ssf	202955	693	204959
learn28.ssf	197063	745	200645
learn29.ssf	201666	568	205648
learn30.ssf	185120	777	200331
learn31.ssf	180162	1164	190057
learn32.ssf	182675	1011	191396
learn33.ssf	173739	3499	190517
learn34.ssf	173057	927	184433
learn35.ssf	176030	1003	184984
learn36.ssf	165550	990	180895
learn37.ssf	167644	900	186971
learn38.ssf	166314	999	182874
learn39.ssf	169337	1729	183956
learn40.ssf	170751	1529	183614
learn41.ssf	172506	993	184030
learn42.ssf	177050	716	189424
learn43.ssf	173473	8757	185211
learn44.ssf	171543	963	185332
test0.ssf	203933	642	204579
test1.ssf	203498	617	204588
test2.ssf	203206	543	203952
test3.ssf	204936	805	205817
test4.ssf	203499	882	204536
test5.ssf	214752	720	219484
test6.ssf	203220	792	205752
test7.ssf	205613	921	206534
test8.ssf	205956	838	206794
test9.ssf	203894	554	204477
test10.ssf	203922	699	204993
test11.ssf	201893	992	202950
test12.ssf	169147	1247	182637
test13.ssf	198581	6729	205408
test14.ssf	204223	693	204916
test15.ssf	201987	986	202973
test16.ssf	193989	972	198953
test17.ssf	186012	10227	196244
test18.ssf	197675	944	198754
test19.ssf	196965	902	198096
test20.ssf	197953	794	198935
test21.ssf	194102	797	196073
test22.ssf	188191	1615	195646
test23.ssf	194763	1592	201420
test24.ssf	182065	1368	191270
test25.ssf	189841	11578	209078
test26.ssf	188958	15569	207640
test27.ssf	172897	5564	183563
test28.ssf	183959	1130	190646
test29.ssf	177076	450	186532
test30.ssf	182347	906	190855
test31.ssf	171744	810	180465
test32.ssf	170571	1311	183025
test33.ssf	163546	880	176953
test34.ssf	171496	913	184668
test35.ssf	173600	809	185520
test36.ssf	174040	896	185131
test37.ssf	172304	783	183510
test38.ssf	173194	773	182816
test39.ssf	175143	1056	186648
test40.ssf	173509	700	184760
test41.ssf	168797	6165	184217
test42.ssf	170830	853	182268
test43.ssf	166637	3689	183458
test44.ssf	171951	1175	182817
test45.ssf	165166	1659	176522
test46.ssf	163595	6532	179563
test47.ssf	166356	1719	177368
test48.ssf	165643	6265	182298
test49.ssf	194385	2004	198339
test50.ssf	177224	1561	188844
test51.ssf	177108	9954	192652
test52.ssf	184872	2240	193274
test53.ssf	165331	11864	181479
test54.ssf	172224	6775	186144
test55.ssf	131032	7946	176950
test56.ssf	155730	10715	179015
test57.ssf	126260	19971	175592
test58.ssf	137917	25772	181910
test59.ssf	106256	26379	171330
test60.ssf	133415	16927	176950
test61.ssf	104934	19867	172089
test62.ssf	164158	11780	186976
test63.ssf	168593	5302	185491
test64.ssf	152111	2534	182968
test65.ssf	142820	7488	186050
